"date","PIB","Inflacion","TC","IPC"
1990-12-31,15443136.46,18,3.40,31.21
1991-12-31,16256452.65,14.53,3.75,37.91
1992-12-31,16524115.15,10.46,4.10,42.48
1993-12-31,17229578.43,9.30,4.48,46.10
1994-12-31,18033728.73,8.52,4.70,49.73
1995-12-31,18877396.5,12.58,4.94,54.80
1996-12-31,19700704,7.95,5.19,61.61
1997-12-31,20676718.01,6.73,5.37,64.51
1998-12-31,21716623.48,4.39,5.65,69.46
1999-12-31,21809328.57,3.13,6.00,70.96
2000-12-31,22356265.31,3.41,6.36,74.23
2001-12-31,22732699.89,0.92,6.81,75.41
2002-12-31,23297736.1,2.45,7.45,76.11
2003-12-31,23929416.9,3.94,7.79,78.65
2004-12-31,24928062.2,4.62,8.03,82.14
2005-12-31,26030239.79,4.91,8.00,86.57
2006-12-31,27278912.67,4.95,7.94,90.28
2007-12-31,28524027.12,11.73,7.60,98.14
2008-12-31,30277826.31,11.85,6.97,111.88
2009-12-31,31294252.76,0.26,6.97,115.63
2010-12-31,32585679.81,7.18,6.95,118.52
2011-12-31,34281468.67,6.90,6.86,130.23
2012-12-31,36037460.03,4.54,6.86,136.12
2013-12-31,38486569.86,6.48,6.86,143.93
2014-12-31,40588155.83,5.19,6.86,152.22
2015-12-31,42559598.55,2.95,6.86,158.40
2016-12-31,44374306.14,4.00,6.86,164.15
2017-12-31,46235899.83,2.71,6.86,168.78
2018-12-31,48188730.16,1.51,6.86,101.58
2019-12-31,49256932.53,1.47,6.86,103.45
2020-12-31,44952918.69,0.67,6.86,104.42
2021-12-31,47697655.9,0.90,6.86,105.19
2022-12-31,49356401.38,3.12,6.86,107.03
